id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Asia;Krajcik;Deshaun.Fay55@gmail.com;traditionalism though mantua;2025-05-28T22:16:40;14898;774
2;Jamey;Kozey;Davon18@yahoo.com;revitalise provided;2025-05-28T11:04:21;8624;9573
3;Frederique;Anderson;Nicolette4@gmail.com;brook scarily;2025-05-29T03:50:36;20113;6046
4;Alvina;Wyman;Tiffany_Hackett@hotmail.com;whoever;2025-05-29T00:35:37;26352;2922
5;Victoria;O'Connell;Kitty49@yahoo.com;bah beautifully;2025-05-28T13:36:48;27095;29243
6;Bobbie;D'Amore;Gaetano_Vandervort52@yahoo.com;brr glimmer;2025-05-29T03:51:49;18377;25822
7;Shakira;Waelchi;Benedict_Erdman68@gmail.com;glass ha plumber;2025-05-28T23:58:33;20721;9746
8;Consuelo;Stiedemann;Emery32@gmail.com;mouser;2025-05-28T20:24:52;2160;2370
9;Christina;Skiles;Euna6@yahoo.com;alongside;2025-05-28T09:59:06;11617;5655
10;Perry;Ledner;Drake96@hotmail.com;intensely whoever colonialism;2025-05-28T16:43:26;4905;19063
